categoria,ordem,isbn,titulo,autor,editora,cover_url,origem_url
Best Literature in Portuguese,1,,O Xangô de Baker Street,Jô Soares,,,https://www.goodreads.com/book/show/723023.O_Xang_de_Baker_Street
Best Literature in Portuguese,2,,O Medo,Al Berto,,,https://www.goodreads.com/book/show/1720440.O_Medo
Best Literature in Portuguese,3,,Minnebrieven van een Portugese non,Gabriel de Guilleragues,,,https://www.goodreads.com/book/show/12655587-minnebrieven-van-een-portugese-non
Best Literature in Portuguese,4,,Lisboa Desaparecida,Marina Tavares Dias,,,https://www.goodreads.com/book/show/4032966-lisboa-desaparecida
Best Literature in Portuguese,5,,O Homem Duplicado,José Saramago,,,https://www.goodreads.com/book/show/54120.The_Double
Best Literature in Portuguese,6,,O Guarani,José de Alencar,,,https://www.goodreads.com/book/show/1093699.O_Guarani
Best Literature in Portuguese,7,,Cidade de Deus,Paulo Lins,,,https://www.goodreads.com/book/show/1297137.City_of_God
Best Literature in Portuguese,8,,Perguntem a Sarah Gross,João Pinto Coelho,,,https://www.goodreads.com/book/show/25258867-perguntem-a-sarah-gross
Best Literature in Portuguese,9,,O Mistério do 5 Estrelas,Marcos Rey,,,https://www.goodreads.com/book/show/1814584.O_Mist_rio_do_5_Estrelas
Best Literature in Portuguese,10,,Memória de Elefante,António Lobo Antunes,,,https://www.goodreads.com/book/show/15729740-mem-ria-de-elefante
Best Literature in Portuguese,11,,Vestido de Noiva,Nelson Rodrigues,,,https://www.goodreads.com/book/show/2648111-vestido-de-noiva
Best Literature in Portuguese,12,,Um Certo Capitão Rodrigo,Erico Verissimo,,,https://www.goodreads.com/book/show/4935134-um-certo-capit-o-rodrigo
Best Literature in Portuguese,13,,Esaú e Jacó,Machado de Assis,,,https://www.goodreads.com/book/show/146435.Esau_and_Jacob
Best Literature in Portuguese,14,,Clarissa,Erico Verissimo,,,https://www.goodreads.com/book/show/624600.Clarissa
Best Literature in Portuguese,15,,Crónica dos bons malandros,Mário Zambujal,,,https://www.goodreads.com/book/show/6413052-cr-nica-dos-bons-malandros
Best Literature in Portuguese,16,,Obra Poética,Sophia de Mello Breyner Andresen,,,https://www.goodreads.com/book/show/9836528-obra-po-tica
Best Literature in Portuguese,17,,Cecília Meireles - Poesia Completa (2 Volumes),Cecília Meireles,,,https://www.goodreads.com/book/show/2632946-cec-lia-meireles---poesia-completa
