categoria,ordem,isbn,titulo,autor,editora,cover_url,origem_url
H1 Editora,1,9786585564458,Breakthrough Advertising,Eugene M. Schwartz,H1 Editora,https://h1editora.fbitsstatic.net/img/p/breakthrough-advertising-150274/336853-5.jpg,https://www.h1editora.com/produto/breakthrough-advertising-150274
H1 Editora,2,9786599521331,Storynomics,"Robert McKee, Thomas Gerace",H1 Editora,https://h1editora.fbitsstatic.net/img/p/storynomics-150177/336694-5.jpg,https://www.h1editora.com/produto/storynomics-150177
H1 Editora,3,9786585564366,Como Pensa um Líder,,H1 Editora,https://h1editora.fbitsstatic.net/img/p/como-pensa-um-lider-150143/336660-3.jpg,https://www.h1editora.com/produto/como-pensa-um-lider-150143
H1 Editora,4,9786585564441,Salve o Gato!,Blake Snyder,H1 Editora,https://h1editora.fbitsstatic.net/img/p/salve-o-gato-150173/336690-5.jpg,https://www.h1editora.com/produto/salve-o-gato-150173
H1 Editora,5,9786585564434,Trader de Atenção,,H1 Editora,https://h1editora.fbitsstatic.net/img/p/trader-de-atencao-150262/336828-5.jpg,https://www.h1editora.com/produto/trader-de-atencao-150262
H1 Editora,6,9786599815478,Trabalhe de Casa,,H1 Editora,https://h1editora.fbitsstatic.net/img/p/trabalhe-de-casa-150163/336680-5.jpg,https://www.h1editora.com/trabalhe-de-casa-150163
H1 Editora,7,9786585564052,Permissão para Errar,,H1 Editora,https://h1editora.fbitsstatic.net/img/p/permissao-para-errar-150147/336664-5.jpg,https://www.h1editora.com/permissao-para-errar-150147
H1 Editora,8,9786585564106,Segredos do Tráfego,Russell Brunson,H1 Editora,https://h1editora.fbitsstatic.net/img/p/segredos-do-trafego-150172/336689-5.jpg,https://www.h1editora.com/segredos-do-trafego-150172
H1 Editora,9,9786585564311,Produtividade do Bem,,H1 Editora,https://h1editora.fbitsstatic.net/img/p/produtividade-do-bem-150182/336699-6.jpg,https://www.h1editora.com/produtividade-do-bem-150182
H1 Editora,10,9786599521379,Manual do Social Media,,H1 Editora,https://h1editora.fbitsstatic.net/img/p/manual-do-social-media-150190/336707-5.jpg,https://www.h1editora.com/manual-do-social-media-150190
H1 Editora,11,9786585564151,Pensamento Lateral,Edward de Bono,H1 Editora,https://h1editora.fbitsstatic.net/img/p/pensamento-lateral-150159/336676-5.jpg,https://www.h1editora.com/pensamento-lateral-150159
H1 Editora,12,9786599815485,As 22 Leis Imutáveis do Marketing,"Al Ries, Jack Trout",H1 Editora,https://h1editora.fbitsstatic.net/img/p/as-22-leis-imutaveis-do-marketing-150191/336708-5.jpg,https://www.h1editora.com/as-22-leis-imutaveis-do-marketing-150191
H1 Editora,13,9786585564069,Feito para Vender,John Warrillow,H1 Editora,https://h1editora.fbitsstatic.net/img/p/feito-para-vender-150144/336661-5.jpg,https://www.h1editora.com/feito-para-vender-150144
H1 Editora,14,9786599521386,Peça-Chave,,H1 Editora,https://h1editora.fbitsstatic.net/img/p/peca-chave-150161/336678-5.jpg,https://www.h1editora.com/peca-chave-150161
H1 Editora,15,9786585564137,É Possível,,H1 Editora,https://h1editora.fbitsstatic.net/img/p/e-possivel-150156/336673-5.jpg,https://www.h1editora.com/e-possivel-150156
H1 Editora,16,9786585564168,12 Notas sobre a Vida e a Criatividade,Quincy Jones,H1 Editora,https://h1editora.fbitsstatic.net/img/p/12-notas-sobre-a-vida-e-a-criatividade-150157/336674-5.jpg,https://www.h1editora.com/12-notas-sobre-a-vida-e-a-criatividade-150157
